Empresa,Cadastro,Já operou?,Teve possibilidade de operar?,cadastro_periodo
Empresa 3403,201907,Sim,Sim,2019-07
Empresa 34030,202110,Sim,Sim,2021-10
Empresa 34031,202110,Sim,Sim,2021-10
Empresa 34032,202110,Sim,Sim,2021-10
Empresa 34033,202110,Sim,Sim,2021-10
Empresa 34034,202110,Sim,Sim,2021-10
Empresa 34035,202110,Sim,Sim,2021-10
Empresa 34036,202110,Sim,Sim,2021-10
Empresa 34037,202110,Sim,Sim,2021-10
Empresa 34038,202203,Sim,Sim,2022-03
Empresa 34039,202203,Sim,Sim,2022-03
Empresa 3404,201907,Sim,Sim,2019-07
Empresa 34040,202203,Sim,Sim,2022-03
Empresa 34041,202203,Sim,Sim,2022-03
Empresa 34042,202203,Sim,Sim,2022-03
Empresa 34043,202203,Sim,Sim,2022-03
Empresa 34044,202203,Sim,Sim,2022-03
Empresa 34045,202203,Sim,Sim,2022-03
Empresa 34046,202203,Sim,Sim,2022-03
Empresa 34047,202203,Sim,Sim,2022-03
Empresa 34048,202203,Sim,Sim,2022-03
Empresa 34049,202203,Sim,Sim,2022-03
Empresa 3405,202304,Não,Sim,2023-04
Empresa 34050,202203,Sim,Sim,2022-03
Empresa 34051,202203,Não,Sim,2022-03
Empresa 34052,202203,Sim,Sim,2022-03
Empresa 34053,202203,Sim,Sim,2022-03
Empresa 34054,202203,Sim,Sim,2022-03
Empresa 34055,202203,Sim,Sim,2022-03
Empresa 34056,202203,Sim,Sim,2022-03
Empresa 34057,202203,Sim,Sim,2022-03
Empresa 34058,202203,Sim,Sim,2022-03
Empresa 34059,202203,Sim,Sim,2022-03
Empresa 3406,202207,Sim,Sim,2022-07
Empresa 34060,202203,Sim,Sim,2022-03
Empresa 34061,202203,Sim,Sim,2022-03
Empresa 34062,202203,Sim,Sim,2022-03
Empresa 34063,202203,Sim,Sim,2022-03
Empresa 34064,202203,Sim,Sim,2022-03
Empresa 34065,202203,Sim,Sim,2022-03
Empresa 34066,202203,Sim,Sim,2022-03
Empresa 34067,202203,Sim,Sim,2022-03
Empresa 34068,202203,Sim,Sim,2022-03
Empresa 34069,202204,Não,Não,2022-04
Empresa 3407,202007,Sim,Sim,2020-07
Empresa 34070,202205,Sim,Sim,2022-05
Empresa 34071,202205,Sim,Sim,2022-05
Empresa 34072,202205,Sim,Sim,2022-05
Empresa 34073,202205,Sim,Sim,2022-05
Empresa 34074,202205,Sim,Sim,2022-05
Empresa 34075,202205,Sim,Sim,2022-05
Empresa 34076,202205,Sim,Sim,2022-05
Empresa 34077,202205,Sim,Sim,2022-05
Empresa 34078,202205,Sim,Sim,2022-05
Empresa 34079,202205,Sim,Sim,2022-05
Empresa 3408,202104,Sim,Sim,2021-04
Empresa 34080,202205,Sim,Sim,2022-05
Empresa 34081,202205,Sim,Sim,2022-05
Empresa 34082,202205,Sim,Sim,2022-05
Empresa 34083,202205,Sim,Sim,2022-05
Empresa 34084,202205,Sim,Sim,2022-05
Empresa 34085,202205,Sim,Sim,2022-05
Empresa 34086,202205,Sim,Sim,2022-05
Empresa 34087,202205,Sim,Sim,2022-05
Empresa 34088,202205,Sim,Sim,2022-05
Empresa 34089,202205,Sim,Sim,2022-05
Empresa 3409,202005,Sim,Sim,2020-05
Empresa 34090,202205,Sim,Sim,2022-05
Empresa 34091,202205,Sim,Sim,2022-05
Empresa 34092,202205,Sim,Sim,2022-05
Empresa 34093,202205,Sim,Sim,2022-05
Empresa 34094,202205,Sim,Sim,2022-05
Empresa 34095,202205,Sim,Sim,2022-05
Empresa 34096,202205,Sim,Sim,2022-05
Empresa 34097,202205,Sim,Sim,2022-05
Empresa 34098,202205,Sim,Sim,2022-05
Empresa 34099,202205,Sim,Sim,2022-05
Empresa 341,202101,Sim,Sim,2021-01
Empresa 3410,201908,Sim,Sim,2019-08
Empresa 34100,202205,Sim,Sim,2022-05
Empresa 34101,202205,Sim,Sim,2022-05
Empresa 34102,202205,Sim,Sim,2022-05
Empresa 34103,202205,Sim,Sim,2022-05
Empresa 34104,202205,Sim,Sim,2022-05
Empresa 34105,202205,Sim,Sim,2022-05
Empresa 34106,202205,Sim,Sim,2022-05
Empresa 34107,202205,Sim,Sim,2022-05
Empresa 34108,202205,Sim,Sim,2022-05
Empresa 34109,202205,Sim,Sim,2022-05
Empresa 3411,201907,Sim,Sim,2019-07
Empresa 34110,202205,Sim,Sim,2022-05
Empresa 34111,202205,Sim,Sim,2022-05
Empresa 34112,202205,Sim,Sim,2022-05
Empresa 34113,202205,Sim,Sim,2022-05
Empresa 34114,202205,Sim,Sim,2022-05
Empresa 34115,202205,Sim,Sim,2022-05
Empresa 34116,202205,Sim,Sim,2022-05
Empresa 34117,202205,Sim,Sim,2022-05
Empresa 34118,202205,Sim,Sim,2022-05
Empresa 34119,202205,Sim,Sim,2022-05
Empresa 3412,202105,Sim,Sim,2021-05
Empresa 34120,202205,Sim,Sim,2022-05
Empresa 34121,202205,Sim,Sim,2022-05
Empresa 34122,202205,Sim,Sim,2022-05
Empresa 34123,202205,Sim,Sim,2022-05
Empresa 34124,202205,Sim,Sim,2022-05
Empresa 34125,202205,Sim,Sim,2022-05
Empresa 34126,202205,Sim,Sim,2022-05
Empresa 34127,202205,Sim,Sim,2022-05
Empresa 34128,202205,Sim,Sim,2022-05
Empresa 34129,202205,Sim,Sim,2022-05
Empresa 3413,201907,Sim,Sim,2019-07
Empresa 34130,202205,Sim,Sim,2022-05
Empresa 34131,202205,Sim,Sim,2022-05
Empresa 34132,202205,Sim,Sim,2022-05
Empresa 34133,202205,Sim,Sim,2022-05
Empresa 34134,202205,Sim,Sim,2022-05
Empresa 34135,202205,Sim,Sim,2022-05
Empresa 34136,202205,Sim,Sim,2022-05
Empresa 34137,202205,Sim,Sim,2022-05
Empresa 34138,202205,Sim,Sim,2022-05
Empresa 34139,202205,Sim,Sim,2022-05
Empresa 3414,201907,Sim,Sim,2019-07
Empresa 34140,202205,Sim,Sim,2022-05
Empresa 34141,202205,Sim,Sim,2022-05
Empresa 34142,202205,Sim,Sim,2022-05
Empresa 34143,202205,Sim,Sim,2022-05
Empresa 34144,202205,Sim,Sim,2022-05
Empresa 34145,202205,Sim,Sim,2022-05
Empresa 34146,202205,Sim,Sim,2022-05
Empresa 34147,202205,Sim,Sim,2022-05
Empresa 34148,202205,Não,Não,2022-05
Empresa 34149,202205,Sim,Sim,2022-05
Empresa 3415,201907,Sim,Sim,2019-07
