MesAno,Empresa,Valor,Segmento,mes
202306,Empresa 6743,216864.3776,Tiny,2023-06
202306,Empresa 7264,98656.322,Tiny,2023-06
202306,Empresa 7265,157138.4,Não Tiny,2023-06
202306,Empresa 6858,440018.047,Não Tiny,2023-06
202306,Empresa 7266,17801.0324,Não Tiny,2023-06
202306,Empresa 7267,1011016.9490000001,Tiny,2023-06
202306,Empresa 7274,13454836.4108,Não Tiny,2023-06
202306,Empresa 7268,138772.182,Tiny,2023-06
202307,Empresa 7259,257010.17719999998,Não Tiny,2023-07
202307,Empresa 7260,92532.87280000001,Tiny,2023-07
202307,Empresa 7269,10306.2,Não Tiny,2023-07
202307,Empresa 7261,772164.0,Tiny,2023-07
202307,Empresa 3094,2469220.9662,Não Tiny,2023-07
202307,Empresa 7273,19383.132,Não Tiny,2023-07
202307,Empresa 7271,3773.6,Não Tiny,2023-07
202307,Empresa 7263,643843.3372,Tiny,2023-07
202307,Empresa 6743,347057.45800000004,Não Tiny,2023-07
202307,Empresa 7264,58088.9116,Não Tiny,2023-07
202307,Empresa 7265,26388.5,Não Tiny,2023-07
202307,Empresa 6858,380024.92699999997,Tiny,2023-07
202307,Empresa 7266,21194.46,Tiny,2023-07
202307,Empresa 6873,89617.66,Tiny,2023-07
202307,Empresa 7267,409182.6264,Tiny,2023-07
202307,Empresa 7274,5390428.8952,Não Tiny,2023-07
202307,Empresa 7268,188729.12800000003,Não Tiny,2023-07
202308,Empresa 7259,245710.73719999997,Tiny,2023-08
202308,Empresa 7260,125821.5784,Não Tiny,2023-08
202308,Empresa 7269,2937.0,Não Tiny,2023-08
202308,Empresa 7261,508524.37299999996,Tiny,2023-08
202308,Empresa 3094,4207044.8274,Não Tiny,2023-08
202308,Empresa 7262,63931.37,Não Tiny,2023-08
202308,Empresa 7273,79630.4182,Não Tiny,2023-08
202308,Empresa 7271,20790.4,Não Tiny,2023-08
202308,Empresa 7272,16173.08,Não Tiny,2023-08
202308,Empresa 7263,741106.56,Não Tiny,2023-08
202308,Empresa 6743,117443.51,Não Tiny,2023-08
202308,Empresa 7264,6585.412600000001,Não Tiny,2023-08
202308,Empresa 7265,83805.96,Não Tiny,2023-08
202308,Empresa 6858,274022.3314,Não Tiny,2023-08
202308,Empresa 7266,10188.008000000002,Não Tiny,2023-08
202308,Empresa 6873,15413.376000000002,Não Tiny,2023-08
202308,Empresa 7267,409182.6264,Não Tiny,2023-08
202308,Empresa 7274,6753592.4468,Não Tiny,2023-08
202308,Empresa 7268,243450.77800000002,Não Tiny,2023-08
202309,Empresa 7259,245710.73719999997,Não Tiny,2023-09
202309,Empresa 7260,53718.0504,Não Tiny,2023-09
202309,Empresa 7261,489702.1368,Não Tiny,2023-09
202309,Empresa 3094,1601055.1404000001,Não Tiny,2023-09
202309,Empresa 7262,31965.685,Não Tiny,2023-09
202309,Empresa 7273,30582.7318,Não Tiny,2023-09
202309,Empresa 7271,12584.6,Não Tiny,2023-09
202309,Empresa 7272,180483.1,Não Tiny,2023-09
202309,Empresa 7275,62328.212999999996,Não Tiny,2023-09
202309,Empresa 6743,115676.9312,Tiny,2023-09
202309,Empresa 7264,46986.9982,Não Tiny,2023-09
202309,Empresa 7265,76540.0,Não Tiny,2023-09
202309,Empresa 6858,1022659.8934000001,Não Tiny,2023-09
202309,Empresa 7266,5581.3679999999995,Não Tiny,2023-09
202309,Empresa 6873,62289.32,Tiny,2023-09
202309,Empresa 7267,865234.8422,Não Tiny,2023-09
202309,Empresa 7268,240028.372,Tiny,2023-09
202310,Empresa 7259,247846.73719999997,Tiny,2023-10
202310,Empresa 7260,52278.4932,Não Tiny,2023-10
202310,Empresa 7261,518654.44200000004,Não Tiny,2023-10
202310,Empresa 3094,2731699.2322,Não Tiny,2023-10
202310,Empresa 7273,20352.288600000003,Tiny,2023-10
202310,Empresa 7271,55621.44,Não Tiny,2023-10
202310,Empresa 7275,191741.1906,Tiny,2023-10
202310,Empresa 6743,274967.0664,Tiny,2023-10
202310,Empresa 7264,6432.475,Não Tiny,2023-10
202310,Empresa 7265,50151.5,Não Tiny,2023-10
202310,Empresa 6858,583829.7828,Não Tiny,2023-10
