bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-05,Empresa 4693,100.0,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 12672,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12673,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12674,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2579,5.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12676,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12677,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12678,5.0,202001,2023-05,2020-01,já cadastrado,True,False
2023-05,Empresa 5874,100.0,202202,2023-05,2022-02,já cadastrado,True,False
2023-05,Empresa 12679,5.0,202007,2023-05,2020-07,já cadastrado,True,False
2023-05,Empresa 12680,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6773,100.0,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 12681,5.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 5620,100.0,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 12682,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12683,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2203,5.0,202201,2023-05,2022-01,já cadastrado,True,False
2023-05,Empresa 12684,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12685,5.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 12686,5.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 12687,5.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 12688,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 814,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 7535,79.77,202306,2023-05,2023-06,cadastro futuro,False,True
2023-05,Empresa 12689,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 5280,46.26,202205,2023-05,2022-05,já cadastrado,True,False
2023-05,Empresa 993,62.41,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 12690,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12691,5.0,202108,2023-05,2021-08,já cadastrado,True,False
2023-05,Empresa 12692,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4559,100.0,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 4326,100.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12693,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12694,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12695,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4380,5.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12696,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12697,5.0,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 12698,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12699,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12700,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12701,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7384,36.46,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12702,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1448,5.0,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 12703,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1915,72.96,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 12704,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7183,5.0,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 12705,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12706,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12707,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12708,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12709,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12710,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 12711,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12712,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12713,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12714,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 74,5.0,202210,2023-05,2022-10,já cadastrado,True,False
2023-05,Empresa 12715,5.0,202311,2023-05,2023-11,cadastro futuro,False,True
2023-05,Empresa 12717,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12718,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12719,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3917,31.02,202206,2023-05,2022-06,já cadastrado,True,False
2023-05,Empresa 12720,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12722,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12723,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12724,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2377,100.0,202108,2023-05,2021-08,já cadastrado,True,False
2023-05,Empresa 12725,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12726,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12727,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6514,100.0,201910,2023-05,2019-10,já cadastrado,True,False
2023-05,Empresa 1759,96.74,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 4675,100.0,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 200,5.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 12729,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3676,100.0,202303,2023-05,2023-03,já cadastrado,True,False
2023-05,Empresa 354,100.0,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 3127,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 3216,99.5,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 12730,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12731,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12732,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12733,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6425,67.66,202211,2023-05,2022-11,já cadastrado,True,False
2023-05,Empresa 5923,21.918,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 12734,5.0,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 988,100.0,202204,2023-05,2022-04,já cadastrado,True,False
2023-05,Empresa 12735,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6857,100.0,202209,2023-05,2022-09,já cadastrado,True,False
2023-05,Empresa 6652,100.0,202004,2023-05,2020-04,já cadastrado,True,False
2023-05,Empresa 7185,100.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 12736,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12737,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12738,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12739,5.0,202007,2023-05,2020-07,já cadastrado,True,False
2023-05,Empresa 12740,5.0,202006,2023-05,2020-06,já cadastrado,True,False
2023-05,Empresa 2607,69.5,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 4214,79.45,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 12741,5.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 12742,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12743,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12744,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6746,100.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 12745,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12746,5.0,202006,2023-05,2020-06,já cadastrado,True,False
2023-05,Empresa 12747,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4359,100.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12748,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1452,100.0,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 12749,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12750,5.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 12751,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12752,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12753,5.0,202308,2023-05,2023-08,cadastro futuro,False,True
2023-05,Empresa 4198,100.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 12754,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4986,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 12755,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12756,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 694,5.0,202303,2023-05,2023-03,já cadastrado,True,False
2023-05,Empresa 12757,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12758,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1362,100.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 162,64.71,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 12759,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12760,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12761,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 12762,5.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 12763,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4660,100.0,202010,2023-05,2020-10,já cadastrado,True,False
2023-05,Empresa 12766,5.0,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 4719,100.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 1617,100.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 12767,5.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 3362,5.0,202006,2023-05,2020-06,já cadastrado,True,False
2023-05,Empresa 12769,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4770,100.0,202009,2023-05,2020-09,já cadastrado,True,False
2023-05,Empresa 12771,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3683,100.0,202204,2023-05,2022-04,já cadastrado,True,False
2023-05,Empresa 12772,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12773,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12774,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1253,5.0,202302,2023-05,2023-02,já cadastrado,True,False
2023-05,Empresa 12775,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2321,100.0,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 3552,5.0,202205,2023-05,2022-05,já cadastrado,True,False
2023-05,Empresa 12779,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7235,5.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12780,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12781,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12782,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 3129,100.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 3119,100.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 12783,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12784,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12785,5.0,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 12786,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12787,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12788,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12789,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12790,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4265,100.0,202111,2023-05,2021-11,já cadastrado,True,False
2023-05,Empresa 12791,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12792,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1725,5.0,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 289,62.5,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 4105,5.0,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 7408,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12793,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4187,100.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 1454,99.51,202303,2023-05,2023-03,já cadastrado,True,False
2023-05,Empresa 2609,5.0,202202,2023-05,2022-02,já cadastrado,True,False
2023-05,Empresa 3103,5.0,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 7563,5.0,202104,2023-05,2021-04,já cadastrado,True,False
2023-05,Empresa 2004,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 12794,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12795,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6897,100.0,202006,2023-05,2020-06,já cadastrado,True,False
2023-05,Empresa 12796,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12797,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12798,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 649,100.0,202303,2023-05,2023-03,já cadastrado,True,False
2023-05,Empresa 6340,5.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 12800,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12801,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12802,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12803,5.0,202309,2023-05,2023-09,cadastro futuro,False,True
2023-05,Empresa 12804,5.0,202004,2023-05,2020-04,já cadastrado,True,False
2023-05,Empresa 12805,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12806,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12807,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2122,48.5,202102,2023-05,2021-02,já cadastrado,True,False
2023-05,Empresa 12808,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4807,100.0,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 12810,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4879,100.0,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 12815,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12816,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12817,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7369,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12820,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4708,100.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 11410,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12821,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4670,100.0,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 12822,5.0,202310,2023-05,2023-10,cadastro futuro,False,True
2023-05,Empresa 2469,100.0,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 4135,41.59,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 2476,100.0,202105,2023-05,2021-05,já cadastrado,True,False
2023-05,Empresa 4771,100.0,202010,2023-05,2020-10,já cadastrado,True,False
2023-05,Empresa 386,100.0,202110,2023-05,2021-10,já cadastrado,True,False
2023-05,Empresa 4173,100.0,202204,2023-05,2022-04,já cadastrado,True,False
2023-05,Empresa 5914,5.0,202201,2023-05,2022-01,já cadastrado,True,False
2023-05,Empresa 12825,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3228,69.86,201912,2023-05,2019-12,já cadastrado,True,False
2023-05,Empresa 3269,5.0,202004,2023-05,2020-04,já cadastrado,True,False
2023-05,Empresa 12826,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12827,5.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12828,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12829,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 12830,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12831,,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12832,5.0,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 6591,100.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 12833,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1671,100.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 5377,61.16,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 12834,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12835,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2118,99.45,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 12836,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12837,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12838,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 7453,74.61,202304,2023-05,2023-04,já cadastrado,True,False
2023-05,Empresa 4286,90.25,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 12839,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12840,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12841,5.0,202003,2023-05,2020-03,já cadastrado,True,False
2023-05,Empresa 12842,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12843,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 12844,5.0,202112,2023-05,2021-12,já cadastrado,True,False
2023-05,Empresa 12845,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12846,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12847,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12848,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12849,5.0,202101,2023-05,2021-01,já cadastrado,True,False
2023-05,Empresa 12850,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6041,100.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12851,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12852,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12853,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1224,44.44,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 1213,5.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 12854,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12855,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 392,91.46,202011,2023-05,2020-11,já cadastrado,True,False
2023-05,Empresa 4833,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 12857,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12858,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12859,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12860,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12862,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4958,100.0,202010,2023-05,2020-10,já cadastrado,True,False
2023-05,Empresa 3544,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 3356,86.94,202003,2023-05,2020-03,já cadastrado,True,False
2023-05,Empresa 3480,88.7,201907,2023-05,2019-07,já cadastrado,True,False
2023-05,Empresa 1634,90.98,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12863,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12864,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12865,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4863,100.0,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 4633,84.18,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 1341,5.0,202210,2023-05,2022-10,já cadastrado,True,False
2023-05,Empresa 12868,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12869,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12870,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12871,5.0,202108,2023-05,2021-08,já cadastrado,True,False
2023-05,Empresa 5321,10.48,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 264,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 3166,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 2435,68.7,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 1063,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12872,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12873,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6989,100.0,202108,2023-05,2021-08,já cadastrado,True,False
2023-05,Empresa 7265,100.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 5557,85.13,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 7583,96.07,202305,2023-05,2023-05,já cadastrado,True,False
2023-05,Empresa 4510,5.0,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 3837,5.0,202009,2023-05,2020-09,já cadastrado,True,False
2023-05,Empresa 977,26.94,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12874,5.0,202212,2023-05,2022-12,já cadastrado,True,False
2023-05,Empresa 12875,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12876,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12877,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12878,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12879,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12880,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1818,100.0,202301,2023-05,2023-01,já cadastrado,True,False
2023-05,Empresa 12881,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 284,24.92,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12882,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12883,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4211,100.0,202202,2023-05,2022-02,já cadastrado,True,False
2023-05,Empresa 12884,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12885,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 6197,5.0,202012,2023-05,2020-12,já cadastrado,True,False
2023-05,Empresa 1068,54.33,202206,2023-05,2022-06,já cadastrado,True,False
2023-05,Empresa 12886,5.0,202003,2023-05,2020-03,já cadastrado,True,False
2023-05,Empresa 12887,5.0,202107,2023-05,2021-07,já cadastrado,True,False
2023-05,Empresa 12888,5.0,202008,2023-05,2020-08,já cadastrado,True,False
2023-05,Empresa 12889,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12890,5.0,202002,2023-05,2020-02,já cadastrado,True,False
2023-05,Empresa 6580,100.0,202109,2023-05,2021-09,já cadastrado,True,False
2023-05,Empresa 12891,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12892,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 1078,89.42,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 12893,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12894,5.0,202208,2023-05,2022-08,já cadastrado,True,False
2023-05,Empresa 12895,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12896,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4259,100.0,202202,2023-05,2022-02,já cadastrado,True,False
2023-05,Empresa 6807,100.0,202103,2023-05,2021-03,já cadastrado,True,False
2023-05,Empresa 6453,5.0,202311,2023-05,2023-11,cadastro futuro,False,True
2023-05,Empresa 12897,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12898,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12899,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12900,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12901,5.0,202208,2023-05,2022-08,já cadastrado,True,False
2023-05,Empresa 12902,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12903,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12904,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12905,5.0,202104,2023-05,2021-04,já cadastrado,True,False
2023-05,Empresa 12906,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12907,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12908,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12909,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 3521,66.59,201910,2023-05,2019-10,já cadastrado,True,False
2023-05,Empresa 12910,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4837,100.0,202203,2023-05,2022-03,já cadastrado,True,False
2023-05,Empresa 3425,97.88,201908,2023-05,2019-08,já cadastrado,True,False
2023-05,Empresa 5035,100.0,202010,2023-05,2020-10,já cadastrado,True,False
2023-05,Empresa 3397,100.0,202201,2023-05,2022-01,já cadastrado,True,False
2023-05,Empresa 2348,88.09,202207,2023-05,2022-07,já cadastrado,True,False
2023-05,Empresa 12913,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12914,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12916,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12917,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12919,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 4152,32.44,202302,2023-05,2023-02,já cadastrado,True,False
2023-05,Empresa 12920,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12921,0.0,Não,2023-05,,sem cadastro,False,False
2023-05,Empresa 12922,5.0,202102,2023-05,2021-02,já cadastrado,True,False
2023-05,Empresa 12923,0.0,Não,2023-05,,sem cadastro,False,False
