bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-08,Empresa 14161,0.0,202203,2023-08,2022-03,já cadastrado,True,False
2023-08,Empresa 11446,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 16704,0.0,202101,2023-08,2021-01,já cadastrado,True,False
2023-08,Empresa 8715,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25146,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 16241,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25147,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 20755,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25148,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 9511,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25149,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23653,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 528,100.0,202307,2023-08,2023-07,já cadastrado,True,False
2023-08,Empresa 9521,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 19956,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25150,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23225,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 18756,0.0,202104,2023-08,2021-04,já cadastrado,True,False
2023-08,Empresa 12539,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13700,0.0,202301,2023-08,2023-01,já cadastrado,True,False
2023-08,Empresa 4660,100.0,202010,2023-08,2020-10,já cadastrado,True,False
2023-08,Empresa 5125,14.326,202009,2023-08,2020-09,já cadastrado,True,False
2023-08,Empresa 22884,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5117,100.0,202009,2023-08,2020-09,já cadastrado,True,False
2023-08,Empresa 3418,100.0,202108,2023-08,2021-08,já cadastrado,True,False
2023-08,Empresa 8511,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 13771,0.0,202106,2023-08,2021-06,já cadastrado,True,False
2023-08,Empresa 2718,0.0,202202,2023-08,2022-02,já cadastrado,True,False
2023-08,Empresa 22620,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25151,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 3555,99.77,201908,2023-08,2019-08,já cadastrado,True,False
2023-08,Empresa 2746,0.0,202307,2023-08,2023-07,já cadastrado,True,False
2023-08,Empresa 1639,0.0,202209,2023-08,2022-09,já cadastrado,True,False
2023-08,Empresa 12104,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10911,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5682,0.0,202108,2023-08,2021-08,já cadastrado,True,False
2023-08,Empresa 21263,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 14792,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 14638,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10350,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25152,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10643,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25153,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5519,79.78,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 14472,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5786,0.0,202011,2023-08,2020-11,já cadastrado,True,False
2023-08,Empresa 22518,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13057,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 11596,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 7711,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 15720,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5851,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 24444,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 2050,100.0,202003,2023-08,2020-03,já cadastrado,True,False
2023-08,Empresa 322,59.61,202010,2023-08,2020-10,já cadastrado,True,False
2023-08,Empresa 4617,100.0,202305,2023-08,2023-05,já cadastrado,True,False
2023-08,Empresa 9612,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 4534,100.0,202206,2023-08,2022-06,já cadastrado,True,False
2023-08,Empresa 296,100.0,202111,2023-08,2021-11,já cadastrado,True,False
2023-08,Empresa 10019,0.0,202209,2023-08,2022-09,já cadastrado,True,False
2023-08,Empresa 20274,0.0,202305,2023-08,2023-05,já cadastrado,True,False
2023-08,Empresa 6007,100.0,202011,2023-08,2020-11,já cadastrado,True,False
2023-08,Empresa 4226,100.0,202111,2023-08,2021-11,já cadastrado,True,False
2023-08,Empresa 15574,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 16235,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 20483,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 12589,0.0,202007,2023-08,2020-07,já cadastrado,True,False
2023-08,Empresa 7768,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 15516,0.0,202208,2023-08,2022-08,já cadastrado,True,False
2023-08,Empresa 14440,0.0,202001,2023-08,2020-01,já cadastrado,True,False
2023-08,Empresa 17111,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25154,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 15744,0.0,202007,2023-08,2020-07,já cadastrado,True,False
2023-08,Empresa 22581,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 20372,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 787,65.93,202308,2023-08,2023-08,já cadastrado,True,False
2023-08,Empresa 12255,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 7981,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13522,0.0,202002,2023-08,2020-02,já cadastrado,True,False
2023-08,Empresa 4193,100.0,202111,2023-08,2021-11,já cadastrado,True,False
2023-08,Empresa 14832,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 6336,0.0,202307,2023-08,2023-07,já cadastrado,True,False
2023-08,Empresa 8936,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 17576,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 9200,0.0,202206,2023-08,2022-06,já cadastrado,True,False
2023-08,Empresa 10954,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 8500,0.0,202205,2023-08,2022-05,já cadastrado,True,False
2023-08,Empresa 16101,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 7393,100.0,202301,2023-08,2023-01,já cadastrado,True,False
