Empresa,Valor,share,share_acumulado,pct_fornecedores
Empresa 5780,5108560.8934,9.924407188510072e-05,0.8782294888047536,0.1761244769874477
Empresa 2150,5092792.336200001,9.893773594099896e-05,0.8783284265406947,0.17625523012552302
Empresa 1184,5088552.9458,9.885537725439697e-05,0.878427281917949,0.17638598326359833
Empresa 1636,5074997.427,9.85920340330281e-05,0.8785258739519821,0.17651673640167365
Empresa 3673,5070622.4896,9.850704207328081e-05,0.8786243809940554,0.17664748953974896
Empresa 5815,5058186.7688,9.82654531806804e-05,0.8787226464472361,0.17677824267782427
Empresa 6350,5050142.966600001,9.810918614179719e-05,0.8788207556333779,0.17690899581589958
Empresa 7156,5040780.576,9.792730287073286e-05,0.8789186829362486,0.1770397489539749
Empresa 2297,5039699.315,9.790629720071154e-05,0.8790165892334494,0.1771705020920502
Empresa 4761,5038881.1736,9.789040315821933e-05,0.8791144796366076,0.17730125523012552
Empresa 1287,5035047.0536,9.781591766439117e-05,0.879212295554272,0.17743200836820083
Empresa 95,5035004.7964,9.781509673327535e-05,0.8793101106510053,0.17756276150627615
Empresa 5289,5032824.9194,9.777274823744589e-05,0.8794078833992427,0.17769351464435146
Empresa 7552,5032559.9842,9.776760133823447e-05,0.879505651000581,0.17782426778242677
Empresa 133,5030840.166,9.773419041006278e-05,0.879603385190991,0.17795502092050208
Empresa 3762,5022227.7784,9.756687745600149e-05,0.879700952068447,0.1780857740585774
Empresa 2559,5015658.546,9.743925690177108e-05,0.8797983913253488,0.1782165271966527
Empresa 7384,5014642.1482,9.741951132989047e-05,0.8798958108366787,0.17834728033472802
Empresa 4058,5013744.9392,9.740208124021356e-05,0.8799932129179189,0.17847803347280336
Empresa 3183,5009256.954,9.7314893099541e-05,0.8800905278110184,0.17860878661087867
Empresa 6254,5004746.9502,9.722727720327018e-05,0.8801877550882217,0.17873953974895398
Empresa 3469,4999658.1616,9.71284172479589e-05,0.8802848835054696,0.1788702928870293
Empresa 390,4997787.9156,9.709208395716724e-05,0.8803819755894268,0.1790010460251046
Empresa 114,4997706.0,9.709049258185342e-05,0.8804790660820087,0.17913179916317992
Empresa 493,4985503.9754,9.685344370804814e-05,0.8805759195257167,0.17926255230125523
